business_id,name,city,state,categories,stars,review_count,attributes,hours
g2eWutrVGyfytXepjTXznw,Sacred Grounds,Tampa,FL,"Arts & Entertainment, Food, Bakeries, Nightlife, Restaurants, Coffee & Tea, Music Venues",3.5,27,"{'WiFi': ""u'free'"", 'HasTV': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}",
km-biOKD173NkcpWk_Wdng,The Well Coffeehouse,Brentwood,TN,"Bakeries, Coffee Roasteries, Restaurants, Sandwiches, Coffee & Tea, Food",4.5,185,"{'WiFi': ""'free'"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '6:0-18:0', 'Monday': '6:0-18:0', 'Sunday': '7:0-18:0', 'Tuesday': '6:0-18:0', 'Saturday': '7:0-18:0', 'Thursday': '6:0-18:0', 'Wednesday': '6:0-18:0'}"
gWiUCJEcv1lnZtMT_d2p5A,Dunkin',Tucson,AZ,"Restaurants, Donuts, Food, Coffee & Tea",3.0,103,"{'WiFi': ""'free'"", 'Caters': 'False', 'DriveThru': 'None', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '0:0-0:0', 'Monday': '0:0-0:0', 'Sunday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Wednesday': '0:0-0:0'}"
MoSyhSKj62gqBJyR_e5kIA,McDonald's,New Orleans,LA,"Fast Food, Coffee & Tea, Food, Restaurants, Burgers",1.5,45,"{'WiFi': ""'free'"", 'HasTV': 'True', 'Caters': 'False', 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'DriveThru': 'True', 'NoiseLevel': ""'quiet'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '0:0-0:0', 'Monday': '0:0-0:0', 'Sunday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Wednesday': '0:0-0:0'}"
fM6XQeGW70a4EFbjqAAy3Q,SugarBowl,Edmonton,AB,"Juice Bars & Smoothies, American (New), Cafes, Food, Comfort Food, Desserts, Restaurants, Canadian (New), Coffee & Tea, Breakfast & Brunch",4.0,435,"{'WiFi': ""u'free'"", 'HasTV': 'True', 'Caters': 'False', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{u'hipster': True, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': True, u'upscale': False}"", 'HappyHour': 'True', 'NoiseLevel': ""u'loud'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{u'breakfast': None, u'brunch': True, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': None}"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'None', 'RestaurantsDelivery': 'None', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True'}","{'Friday': '8:0-1:0', 'Monday': '8:0-0:0', 'Sunday': '8:0-0:0', 'Tuesday': '8:0-0:0', 'Saturday': '8:0-1:0', 'Thursday': '8:0-0:0', 'Wednesday': '8:0-0:0'}"
mJbTRr_AJ8rDG78L8Min9w,White Horse Coffee & Creamery,Jenkintown,PA,"Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",4.5,64,"{'WiFi': ""'free'"", 'Caters': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '7:0-17:0', 'Monday': '7:0-17:0', 'Sunday': '9:0-17:0', 'Tuesday': '7:0-17:0', 'Saturday': '8:0-18:0', 'Thursday': '7:0-17:0', 'Wednesday': '7:0-17:0'}"
IG1MLst7GcptliBDES8ycw,Wild Earth Bakery & Café,St Albert,AB,"Bakeries, Coffee & Tea, Restaurants, Food, Cafes",3.5,77,"{'WiFi': ""'no'"", 'HasTV': 'True', 'Caters': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True'}","{'Friday': '6:0-22:30', 'Monday': '6:0-21:0', 'Sunday': '7:0-21:0', 'Tuesday': '6:0-21:0', 'Saturday': '7:0-21:0', 'Thursday': '6:0-21:0', 'Wednesday': '6:0-21:0'}"
C9C-JQOdb5iywv7MzBiUVw,Starbucks,Philadelphia,PA,"Coffee & Tea, Food",3.0,10,"{'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '7:0-14:30', 'Monday': '0:0-0:0', 'Tuesday': '7:0-14:30', 'Thursday': '7:0-14:30', 'Wednesday': '7:0-14:30'}"
niV3iDWcxuKFOJr3qWp9pQ,Starbucks,Tampa,FL,"Coffee & Tea, Food",3.0,96,"{'WiFi': ""u'free'"", 'Caters': 'False', 'Alcohol': ""'none'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '5:0-22:0', 'Monday': '5:0-21:30', 'Sunday': '5:0-22:0', 'Tuesday': '5:0-21:30', 'Saturday': '5:0-22:0', 'Thursday': '5:0-21:30', 'Wednesday': '5:0-21:30'}"
p3qatJIq6b8Gd_k7hwpHOg,McDonald's,Lebanon,TN,"Restaurants, Burgers, Coffee & Tea, Fast Food, Food",1.5,21,"{'WiFi': ""u'free'"", 'HasTV': 'True', 'Caters': 'False', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'DriveThru': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}"", 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}","{'Friday': '5:0-2:0', 'Monday': '5:0-1:0', 'Sunday': '5:0-1:0', 'Tuesday': '5:0-1:0', 'Saturday': '5:0-2:0', 'Thursday': '5:0-1:0', 'Wednesday': '5:0-1:0'}"
