review_id,business_id,stars,review_date,text,useful
_PBIQRCRa0T9N3S3W_1CXA,_QDlxjPJf76c5O9OqY_tqA,4.0,2016-05-19 19:27:50,"I found Cafe 128 on Yelp, looking for another place to add to the lunch rotation, but was still close to my office.  I have to say though, I never would have found it unless someone told me it was there.  It's sort of tucked away in the half underground basement of a building on West State St., right across from the NJ statehouse.  While it felt a little strange walking down the red brick steps, I couldn't help but think that this was what I felt a speakeasy may have been like back in the 20's.  The inside is nicely appointed with modern decor and fixtures.  It was a little darker than I would have guessed, but I think that was a nice selling point for me.  Workers in Trenton are under these bright fluorescent lights in their offices and cubicles all day; what better way to relax on your break than a nice cafe with comfortable/moderate lighting and friendly staff.  

The food was exactly as I had imagined it by reading the description on the menu.  My meal choice for my first time was the Roast Turkey sandwich. It comes topped with sharp cheddar cheese and cranberry mayo to add a hint of sweetness.  The turkey was well cooked and not dry (which I was half expecting) and the bread was a lightly toasted/grilled focaccia.  The portion was about what I expected if not a little more generous.  As a side I ordered some of their beef chili.  It was maybe 3/5 stars and the only thing that kept me from leaving s five star review overall.  The beef seemed like it was cooked for too long and may not have been browned or drained before being added to the stock pot.  This leads to higher oil levels in the finished product, along with the beef sort of falling apart, and taking on sort of a grainy, chalky texture.  My experience is that  most people like small to medium sized chunks of ground beef when ordering chili. 

I would absolutely come here again, as I liked the overall experience, food quality, cleanliness of the establishment, pricing, and the fast turnaround to make my food after ordering.",0
UWgsAb6YxsEYOfAMMbzPwg,_QDlxjPJf76c5O9OqY_tqA,5.0,2018-02-13 18:09:54,"The sheared tuna sandwich was uh-mazing!!!! The chipotle soup was good too! The Jersey iced coffee was sooooo good!!! If I come back, I will definitely go back to this place! Next time I want to try the chicken sandwich! Overall, SO satisfied!!",0
t6XxM5clvriK3PBSFBVH0g,_QDlxjPJf76c5O9OqY_tqA,3.0,2016-02-02 18:04:38,"Bustling new restaurant in downtown trenton.  Get there early, or you won't get a table.  Nice selection of sandwiches, but I think they can up their seasoning.  My friend got the grilled veggie sandwich, which had grilled veggies and fresh mozerella and olive oil.  It could have used some spices, or a balsamic vinegrette, or some pesto or something.  I had a grilled chicken sandwich.  Again, it would have been better if the chicken had been marinated in something with a nice flavor.  $10.00 for a sandwich and soda is a little pricier than other places in the neighborhood, but the quality of ingredients was high.  I'll probably go again, but will ask for something to jazz up the sandwiches.",0
AyLck2o-EOQ9Umxiz8bI_Q,_QDlxjPJf76c5O9OqY_tqA,4.0,2016-09-20 16:10:09,"The only thing holding me back from bestowing another star is the coffee. In the interest of full disclosure, I stopped in around 11 a.m., well past the breakfast rush. Lunch was on the way, and it smelled heavenly. But, I suspect I got an old cup of coffee, which was acrid, and set me back $2 (the same price I paid for the most perfect cup of coffee I had at Trenton Coffee House and Roaster last week). And the prep counter only offered one, unidentified type of creamer, which had a bluish cast. I suspect skim or some vile, non-dairy, grain/nut/legume milk*. I'm not sure why I didn't ask the staff for other creamer options. I could have. But I didn't want to trouble them -- which sounds like b.s. now that I'm complaining about it all. I may need to investigate my passive-aggression. I'm sorry. But, on the other hand, I think an establishment that prominently offers coffee should make sure the prep area has some real-world options, unless they are marketing specifically to the vegans. But don't think they are: I'm pretty sure I saw meat on the menu.

Anyway, now that's out of the way: I will definitely be back because I also ordered a coconut muffin, which was delicious. And the atmosphere is so cool! It's located a few steps below the sidewalk level, in a great location across the street from the State House and Thomas Edison State University. They have a really cozy, inviting, street side seating area, with the best tables: they're topped with area maps showing off all the cool things to find in Trenton, making them wonderful neighbors to other area business. People have been talking for years about the renaissance in Trenton, and places like this -- ""be the change you want to see"" make Trenton's super location and potential very clear. I'm very happy to have Cafe 128 in Trenton, and will be back soon for something other than coffee (though I suspect it's just fine most of the time!).

--------
* I am not against non-dairy ""milk."" Except when coffee is involved.",5
Zrasv3D_QHqymPT-sLPPjA,_QDlxjPJf76c5O9OqY_tqA,5.0,2016-01-19 21:17:12,The café has wonderful décor!  The location is prime and the service was speedy.  The breakfast menu is delightful!  I would recommend this café to everyone !  My experience as a whole was grand :),0
GBbh9aM0L7j30Rx_ISXb8g,_QDlxjPJf76c5O9OqY_tqA,5.0,2018-07-20 18:50:33,"I've been wanting to try this place for quite some time.  Finally got to do so today.  Hit it at a great time, in between lunch crowds.  Staff was friendly and accommodating.  I had the seafood over green salad.  Plenty of food to satisfy.  My cohorts each had a combo of either half sandwich and salad or half sandwich and soup.  It was a beautiful day and we elected to sit outside.  The staff brought our food out to us.  Unfortunately, the bees wanted our lunch as well so we grabbed it food and went back inside.  We were all pleased with our lunch. Great cafe in downtown Trenton!",0
7pZwgxhGVHL_qLq1hYal1w,_QDlxjPJf76c5O9OqY_tqA,5.0,2016-02-27 12:40:21,"I'm leaving this review on behalf of my husband, who doesn't have a Yelp account. I saw a review of this place on Hidden Trenton and mentioned it to him, since he usually grabs a cup of coffee at Dunkin' Donuts in the afternoons. (side note: we both work in downtown Trenton)

He had a bit of trouble finding the place (he described the building as ""nondescript""), and then the weather was bad which deterred him from venturing back out, but I knew he found it when I received the following text message yesterday afternoon:

""Well I waited three days for it but that is some of the best coffee I've had. The biscotti was a little expensive but in its defense it's the best damn biscotti I've ever had.""

He said it was $4.75 for a large coffee ($2.50) and the biscotti ($2.25), which he described as being a good size. It sounds like a quality stop in Trenton, and I'm looking forward to giving them a try.",0
Rp4xjK5nBvx2TJzx5xUfOw,_QDlxjPJf76c5O9OqY_tqA,4.0,2016-05-11 19:20:18,This place has really great food!!!! The soups are excellent - I got a corn chowder with bacon in it and it was so good! I work right down the street so I come here often and will continue to do so.,0
PcBWOi0Y2J5459i9osabug,_QDlxjPJf76c5O9OqY_tqA,5.0,2018-08-30 13:55:57,Love this place. My go to spot for lunch if I don't bring my own to work. Staff is friendly and the food is delicious. Highly recommend.,1
6idA8G8mcHSsrwnLQLnTKA,_QDlxjPJf76c5O9OqY_tqA,1.0,2016-09-02 15:34:33,"Very cute place, good coffee, good food, but horrible customer service.  I ordered from there this week and was incredibly disappointed.  This was my second time placing an order over the phone.  The woman that took my order over the phone was very short with me and acted like I was bothering her.  When I got there to pick up my order the woman at the counter was also rude to me.  I assumed she was the same person that took my order over the phone.  When I pulled out my credit card to pay for my food she said, ""Since you're paying with a credit card you can leave a tip!""  I was shocked!  Since when did people leave tips for take-out orders?  I walked a couple blocks to pick up my food.  I actually ended up leaving a tip because I felt put on the spot.  But I left a tip with the intension of never returning.  A great way to lose a customer is to ask for a tip when one is not required or deserved.",3
